start_city_id,start_bigcity,start_county_id,start_county_name,end_city_id,end_bigcity,end_county_id,end_county_name,revised_mileage,min_truck_length,freight
330100,杭州市,280115,下沙区,330100,杭州市,330105,拱墅区,22832,7.2,75475.50450984992
330100,杭州市,280115,下沙区,330100,杭州市,330105,拱墅区,22832,7.7,81635.53157027398
330100,杭州市,280115,下沙区,330100,杭州市,330105,拱墅区,22832,7.8,82867.53698235878
330100,杭州市,280115,下沙区,330100,杭州市,330105,拱墅区,22832,8.2,87795.55863069803
330100,杭州市,280115,下沙区,330100,杭州市,330105,拱墅区,22832,8.7,93955.5856911221
330100,杭州市,280115,下沙区,330100,杭州市,330105,拱墅区,22832,9.6,105043.6343998854
330100,杭州市,280115,下沙区,330100,杭州市,330106,西湖区,34160,12.5,145443.21667208106
330100,杭州市,280115,下沙区,330100,杭州市,330106,西湖区,34160,13.0,151603.24373250513
330100,杭州市,280115,下沙区,330100,杭州市,330106,西湖区,34160,15.0,176243.35197420136
330100,杭州市,280115,下沙区,330100,杭州市,330106,西湖区,34160,16.0,188563.4060950495
330100,杭州市,280115,下沙区,330100,杭州市,330106,西湖区,34160,17.5,207043.48727632166
330100,杭州市,280115,下沙区,330100,杭州市,330106,西湖区,34160,2.5,22242.675463599866
330100,杭州市,280115,下沙区,330100,杭州市,330106,西湖区,34160,4.2,43186.76746904166
330100,杭州市,280115,下沙区,330100,杭州市,330106,西湖区,34160,5.0,53042.81076572016
330100,杭州市,280115,下沙区,330100,杭州市,330106,西湖区,34160,6.2,67826.8757107379
330100,杭州市,280115,下沙区,330100,杭州市,330106,西湖区,34160,6.8,75218.90818324678
330100,杭州市,280115,下沙区,330100,杭州市,330106,西湖区,34160,7.2,80146.92983158602
330100,杭州市,280115,下沙区,330100,杭州市,330106,西湖区,34160,7.7,86306.95689201009
330100,杭州市,280115,下沙区,330100,杭州市,330106,西湖区,34160,7.8,87538.9623040949
330100,杭州市,280115,下沙区,330100,杭州市,330106,西湖区,34160,8.2,92466.98395243414
330100,杭州市,280115,下沙区,330100,杭州市,330106,西湖区,34160,8.7,98627.01101285819
330100,杭州市,280115,下沙区,330100,杭州市,330106,西湖区,34160,9.6,109715.05972162151
330100,杭州市,280115,下沙区,330100,杭州市,330108,滨江区,27371,12.5,142643.57803249187
330100,杭州市,280115,下沙区,330100,杭州市,330108,滨江区,27371,13.0,148803.60509291594
330100,杭州市,280115,下沙区,330100,杭州市,330108,滨江区,27371,15.0,173443.71333461217
330100,杭州市,280115,下沙区,330100,杭州市,330108,滨江区,27371,16.0,185763.7674554603
330100,杭州市,280115,下沙区,330100,杭州市,330108,滨江区,27371,17.5,204243.84863673247
330100,杭州市,280115,下沙区,330100,杭州市,330108,滨江区,27371,2.5,19443.03682401066
330100,杭州市,280115,下沙区,330100,杭州市,330108,滨江区,27371,4.2,40387.12882945247
330100,杭州市,280115,下沙区,330100,杭州市,330108,滨江区,27371,5.0,50243.17212613096
330100,杭州市,280115,下沙区,330100,杭州市,330108,滨江区,27371,6.2,65027.2370711487
330100,杭州市,280115,下沙区,330100,杭州市,330108,滨江区,27371,6.8,72419.26954365757
330100,杭州市,280115,下沙区,330100,杭州市,330108,滨江区,27371,7.2,77347.29119199683
330100,杭州市,280115,下沙区,330100,杭州市,330108,滨江区,27371,7.7,83507.31825242088
330100,杭州市,280115,下沙区,330100,杭州市,330108,滨江区,27371,7.8,84739.32366450569
330100,杭州市,280115,下沙区,330100,杭州市,330108,滨江区,27371,8.2,89667.34531284493
330100,杭州市,280115,下沙区,330100,杭州市,330108,滨江区,27371,8.7,95827.372373269
330100,杭州市,280115,下沙区,330100,杭州市,330108,滨江区,27371,9.6,106915.42108203232
330100,杭州市,280115,下沙区,330100,杭州市,330109,萧山区,45392,12.5,150075.05364363297
330100,杭州市,280115,下沙区,330100,杭州市,330109,萧山区,45392,13.0,156235.08070405704
330100,杭州市,280115,下沙区,330100,杭州市,330109,萧山区,45392,15.0,180875.18894575327
330100,杭州市,280115,下沙区,330100,杭州市,330109,萧山区,45392,16.0,193195.2430666014
330100,杭州市,280115,下沙区,330100,杭州市,330109,萧山区,45392,17.5,211675.32424787356
330100,杭州市,280115,下沙区,330100,杭州市,330109,萧山区,45392,2.5,26874.512435151773
330100,杭州市,280115,下沙区,330100,杭州市,330109,萧山区,45392,4.2,47818.60444059357
330100,杭州市,280115,下沙区,330100,杭州市,330109,萧山区,45392,5.0,57674.64773727207
330100,杭州市,280115,下沙区,330100,杭州市,330109,萧山区,45392,6.2,72458.71268228981
330100,杭州市,280115,下沙区,330100,杭州市,330109,萧山区,45392,6.8,79850.74515479867
330100,杭州市,280115,下沙区,330100,杭州市,330109,萧山区,45392,7.2,84778.76680313793
330100,杭州市,280115,下沙区,330100,杭州市,330109,萧山区,45392,7.7,90938.79386356198
330100,杭州市,280115,下沙区,330100,杭州市,330109,萧山区,45392,7.8,92170.79927564679
330100,杭州市,280115,下沙区,330100,杭州市,330109,萧山区,45392,8.2,97098.82092398603
330100,杭州市,280115,下沙区,330100,杭州市,330109,萧山区,45392,8.7,103258.8479844101
330100,杭州市,280115,下沙区,330100,杭州市,330109,萧山区,45392,9.6,114346.89669317342
330100,杭州市,280115,下沙区,330100,杭州市,330110,余杭区,38065,12.5,147053.55529155312
330100,杭州市,280115,下沙区,330100,杭州市,330110,余杭区,38065,13.0,153213.58235197718
330100,杭州市,280115,下沙区,330100,杭州市,330110,余杭区,38065,15.0,177853.6905936734
330100,杭州市,280115,下沙区,330100,杭州市,330110,余杭区,38065,16.0,190173.74471452154
330100,杭州市,280115,下沙区,330100,杭州市,330110,余杭区,38065,17.5,208653.82589579374
330100,杭州市,280115,下沙区,330100,杭州市,330110,余杭区,38065,2.5,23853.014083071932
330100,杭州市,280115,下沙区,330100,杭州市,330110,余杭区,38065,4.2,44797.10608851373
330100,杭州市,280115,下沙区,330100,杭州市,330110,余杭区,38065,5.0,54653.14938519221
330100,杭州市,280115,下沙区,330100,杭州市,330110,余杭区,38065,6.2,69437.21433020997
330100,杭州市,280115,下沙区,330100,杭州市,330110,余杭区,38065,6.8,76829.24680271883
330100,杭州市,280115,下沙区,330100,杭州市,330110,余杭区,38065,7.2,81757.26845105809
330100,杭州市,280115,下沙区,330100,杭州市,330110,余杭区,38065,7.7,87917.29551148214
330100,杭州市,280115,下沙区,330100,杭州市,330110,余杭区,38065,7.8,89149.30092356695
330100,杭州市,280115,下沙区,330100,杭州市,330110,余杭区,38065,8.2,94077.3225719062
330100,杭州市,280115,下沙区,330100,杭州市,330110,余杭区,38065,8.7,100237.34963233027
330100,杭州市,280115,下沙区,330100,杭州市,330110,余杭区,38065,9.6,111325.39834109359
330100,杭州市,280115,下沙区,330100,杭州市,330122,桐庐县,120471,12.5,181036.030138215
330100,杭州市,280115,下沙区,330100,杭州市,330122,桐庐县,120471,13.0,187196.05719863903
330100,杭州市,280115,下沙区,330100,杭州市,330122,桐庐县,120471,15.0,211836.1654403353
330100,杭州市,280115,下沙区,330100,杭州市,330122,桐庐县,120471,16.0,224156.2195611834
330100,杭州市,280115,下沙区,330100,杭州市,330122,桐庐县,120471,17.5,242636.30074245555
330100,杭州市,280115,下沙区,330100,杭州市,330122,桐庐县,120471,2.5,57835.48892973378
330100,杭州市,280115,下沙区,330100,杭州市,330122,桐庐县,120471,4.2,78779.58093517557
330100,杭州市,280115,下沙区,330100,杭州市,330122,桐庐县,120471,5.0,88635.62423185408
330100,杭州市,280115,下沙区,330100,杭州市,330122,桐庐县,120471,6.2,103419.68917687182
330100,杭州市,280115,下沙区,330100,杭州市,330122,桐庐县,120471,6.8,110811.72164938069
330100,杭州市,280115,下沙区,330100,杭州市,330122,桐庐县,120471,7.2,115739.74329771995
330100,杭州市,280115,下沙区,330100,杭州市,330122,桐庐县,120471,7.7,121899.77035814401
330100,杭州市,280115,下沙区,330100,杭州市,330122,桐庐县,120471,7.8,123131.77577022882
330100,杭州市,280115,下沙区,330100,杭州市,330122,桐庐县,120471,8.2,128059.79741856805
330100,杭州市,280115,下沙区,330100,杭州市,330122,桐庐县,120471,8.7,134219.82447899212
330100,杭州市,280115,下沙区,330100,杭州市,330122,桐庐县,120471,9.6,145307.87318775544
330100,杭州市,280115,下沙区,330100,杭州市,330127,淳安县,207789,12.5,217044.1089026353
330100,杭州市,280115,下沙区,330100,杭州市,330127,淳安县,207789,13.0,223204.13596305935
330100,杭州市,280115,下沙区,330100,杭州市,330127,淳安县,207789,15.0,247844.2442047556
330100,杭州市,280115,下沙区,330100,杭州市,330127,淳安县,207789,16.0,260164.29832560374
330100,杭州市,280115,下沙区,330100,杭州市,330127,淳安县,207789,17.5,278644.3795068759
330100,杭州市,280115,下沙区,330100,杭州市,330127,淳安县,207789,2.5,93843.5676941541
330100,杭州市,280115,下沙区,330100,杭州市,330127,淳安县,207789,4.2,114787.65969959591
330100,杭州市,280115,下沙区,330100,杭州市,330127,淳安县,207789,5.0,124643.7029962744
330100,杭州市,280115,下沙区,330100,杭州市,330127,淳安县,207789,6.2,139427.76794129214
330100,杭州市,280115,下沙区,330100,杭州市,330127,淳安县,207789,6.8,146819.80041380101
330100,杭州市,280115,下沙区,330100,杭州市,330127,淳安县,207789,7.2,151747.82206214027
330100,杭州市,280115,下沙区,330100,杭州市,330127,淳安县,207789,7.7,157907.84912256434
330100,杭州市,280115,下沙区,330100,杭州市,330127,淳安县,207789,7.8,159139.85453464914
330100,杭州市,280115,下沙区,330100,杭州市,330127,淳安县,207789,8.2,164067.87618298837
330100,杭州市,280115,下沙区,330100,杭州市,330127,淳安县,207789,8.7,170227.90324341244
330100,杭州市,280115,下沙区,330100,杭州市,330127,淳安县,207789,9.6,181315.95195217573
330100,杭州市,280115,下沙区,330100,杭州市,330182,建德市,148992,12.5,192797.48155075344
330100,杭州市,280115,下沙区,330100,杭州市,330182,建德市,148992,13.0,198957.50861117747
330100,杭州市,280115,下沙区,330100,杭州市,330182,建德市,148992,15.0,223597.61685287373
330100,杭州市,280115,下沙区,330100,杭州市,330182,建德市,148992,16.0,235917.6709737218
330100,杭州市,280115,下沙区,330100,杭州市,330182,建德市,148992,17.5,254397.75215499403
